cohort,N_total,n_rank_selection,n_inner_train_approx,p,q,true_rank,population_R2,per_direction_variance_share,spectrum,seeds,observed_cohort_R2,observed_cohort_rank,median_selected_rank,mean_selected_rank,exact_rank_rate,rank_zero_rate,fraction_true_directions_retained,median_cv_R2,mean_cv_R2
Jacobs IBD families,90,72,58,24,24,10,0.3,0.03,equal,100,0.112,1,8.0,8.45,0.14,0.0,0.82,0.09010653408942054,0.08826940016463546
Jacobs IBD families,90,72,58,24,24,10,0.5,0.05,equal,100,0.112,1,10.0,10.19,0.64,0.0,0.9880000000000001,0.3351987140686699,0.33094717619686703
Kang autism,44,35,28,24,24,2,0.02,0.01,equal,100,-0.015,1,0.0,0.08,0.0,0.94,0.035,0.0,0.0003687225809865491
Kang autism,44,35,28,24,24,2,0.05,0.025,equal,100,-0.015,1,0.0,0.11,0.01,0.9,0.055,0.0,0.0014234648985343933
Kang autism,44,35,28,24,24,2,0.1,0.05,equal,100,-0.015,1,1.0,0.81,0.18,0.39,0.4,0.00660589268520001,0.012756779546343168
Kang autism,44,35,28,24,24,2,0.15,0.075,equal,100,-0.015,1,1.0,1.26,0.37,0.19,0.61,0.03231145837700167,0.03540139308107402
Kang autism,44,35,28,24,24,2,0.2,0.1,equal,100,-0.015,1,2.0,1.78,0.66,0.01,0.85,0.07900130501665531,0.07854484381677845
Kang autism,44,35,28,24,24,2,0.3,0.15,equal,100,-0.015,1,2.0,1.99,0.89,0.01,0.965,0.15276794937123467,0.1496619977972571
Kang autism,44,35,28,24,24,2,0.5,0.25,equal,100,-0.015,1,2.0,2.04,0.94,0.0,0.99,0.3251366600718511,0.3214972931297499
Kang autism,44,35,28,24,24,10,0.02,0.002,equal,100,-0.015,1,0.0,0.05,0.0,0.96,0.005,0.0,0.0002493664768768811
Kang autism,44,35,28,24,24,10,0.05,0.005,equal,100,-0.015,1,0.0,0.04,0.0,0.96,0.004,0.0,0.0003307640113036026
Kang autism,44,35,28,24,24,10,0.1,0.01,equal,100,-0.015,1,0.0,0.11,0.0,0.9,0.011000000000000001,0.0,0.0015621458357714625
Kang autism,44,35,28,24,24,10,0.15,0.015,equal,100,-0.015,1,0.0,0.36,0.0,0.73,0.036000000000000004,0.0,0.003856883717770476
Kang autism,44,35,28,24,24,10,0.2,0.02,equal,100,-0.015,1,0.0,0.84,0.0,0.61,0.084,0.0,0.0060496068158599715
Kang autism,44,35,28,24,24,10,0.3,0.03,equal,100,-0.015,1,2.0,3.34,0.01,0.2,0.331,0.026096854451525486,0.03398902322480282
Kang autism,44,35,28,24,24,10,0.5,0.05,equal,100,-0.015,1,10.0,9.81,0.13,0.0,0.92,0.19856705870630542,0.1986934740766675
Wandro preterms,75,60,48,24,24,2,0.02,0.01,equal,100,0.181,1,0.0,0.01,0.0,0.99,0.005,0.0,6.299960337687871e-06
Wandro preterms,75,60,48,24,24,2,0.05,0.025,equal,100,0.181,1,0.0,0.24,0.01,0.77,0.12,0.0,0.0027739272171801934
Wandro preterms,75,60,48,24,24,2,0.1,0.05,equal,100,0.181,1,1.0,1.15,0.38,0.23,0.575,0.020496713524175536,0.023466855593801496
Wandro preterms,75,60,48,24,24,2,0.15,0.075,equal,100,0.181,1,2.0,1.84,0.86,0.02,0.92,0.06096293111905615,0.06643112316367829
Wandro preterms,75,60,48,24,24,2,0.2,0.1,equal,100,0.181,1,2.0,1.95,0.95,0.0,0.975,0.12118920588915427,0.11947146792736371
Wandro preterms,75,60,48,24,24,2,0.3,0.15,equal,100,0.181,1,2.0,2.01,0.99,0.0,1.0,0.22307821548773182,0.22221527412069048
Wandro preterms,75,60,48,24,24,2,0.5,0.25,equal,100,0.181,1,2.0,2.02,0.98,0.0,1.0,0.426207207441019,0.42471557429506857
Wandro preterms,75,60,48,24,24,10,0.02,0.002,equal,100,0.181,1,0.0,0.01,0.0,0.99,0.001,0.0,5.47308855282147e-05
Wandro preterms,75,60,48,24,24,10,0.05,0.005,equal,100,0.181,1,0.0,0.01,0.0,0.99,0.001,0.0,6.166790443547621e-05
Wandro preterms,75,60,48,24,24,10,0.1,0.01,equal,100,0.181,1,0.0,0.11,0.0,0.92,0.011000000000000001,0.0,0.0007116977882191023
Wandro preterms,75,60,48,24,24,10,0.15,0.015,equal,100,0.181,1,0.0,0.39,0.0,0.74,0.03900000000000001,0.0,0.0029421702099698297
Wandro preterms,75,60,48,24,24,10,0.2,0.02,equal,100,0.181,1,0.0,1.33,0.0,0.57,0.131,0.0,0.007303353011437591
Wandro preterms,75,60,48,24,24,10,0.3,0.03,equal,100,0.181,1,7.0,7.13,0.05,0.0,0.696,0.05743467316672041,0.060887023863694524
Wandro preterms,75,60,48,24,24,10,0.5,0.05,equal,100,0.181,1,10.0,10.29,0.53,0.0,0.985,0.2997727981047984,0.29773356697520936
